appid,appname,comments
1614642,카카오스토리 KakaoStory,16737
1527791,카카오톡 KakaoTalk,15190
806016,음악무한다운+벨소리-달뮤직,11461
789037,Planner S (플래너/다이어리),9615
1537529,바운스볼,9449
1525735,아프리카TV - AfreecaTV (Korean),9232
1522470,네이버 - Naver,9182
1587171,타이니팜 (Tiny Farm),8446
1219372,폰요금줄이는어플 - 폰플,8378
1522987,드래곤빌리지,8345
1587168,아이러브커피 for Kakao,8344
1514727,[★카톡 꾸미기의 진정한 완성★]카톡알림음깔때기 벨소리,8325
1695037,다함께 차차차 for Kakao,8092
1425901,애니팡 for Kakao,7723
1692907,밀리언아서,7592
805999,네이트 (NATE),6919
1750869,윈드러너 for Kakao,6511
806232,타이니팜 (Tiny Farm),6326
761448,라디오 알람 시계 Free-MP3/라디오/자연의 소리 ,6291
1813794,쿠키런 for Kakao,6217
1606640,폰테마샵 (카카오톡/배경화면/도돌런처/벨소리/폰트락커),6124
1513814,YouTube,6053
853814,Pucca Restaurant,5969
1635861,드래곤 플라이트 for Kakao,5656
1525767,Facebook,5576
806352,카카오톡 KakaoTalk,5479
1693567,터치파이터 for Kakao,5473
1682453,히어로즈 오브 오더앤카오스,5388
1540411,심즈 프리플레이,5371
1673001,모두의 게임 for Kakao,5306
1864689,모두의마블 for Kakao,5216
932685,퀴즈탐험대,5143
1225917,패션시티 - Fashion City by Hangame,5057
860125,RoomBreak: 방탈출4!,5056
1523652,멜론,5022
805994,피망 탭소닉 - TAP SONIC by Pmang,5015
806057,배달의민족(필수어플),4934
1528644,"폰꾸미기어플천국(카카오톡,배경화면,고락커,폰트,도돌런처",4868
788457,네이트온 - NateOn UC,4866
1599507,피쉬아일랜드 - Fish Island,4829
806356,멜론(MelOn),4818
784462,"커플 필수 앱, 비트윈 Between",4701
806480,네이버 웹툰 - Naver Webtoons,4631
931858,그냥! 사천성,4607
806005,올레 navi,4478
1832875,이사만루2013 KBO,4477
1473949,Minecraft - Pocket Edition,4472
1454014,GO 런처 EX (GO Launcher EX),4418
1514496,퍼펙트싱어 VS with 질러쏭 (노래방),4405
927107,팔라독(Paladog),4404
806345,버즐 : 잃어버린 깃털 by HANGAME,4334
1905995,회색도시 for Kakao,4295
1522359,낯선 사람과의 대화 (랜덤 채팅),4209
1522479,네이버 카페  - Naver Cafe,4208
747045,비밀사진관리 - i사진폴더 (폴더관리/동영상/메모/공유),4189
868923,미션알람시계 - 아침기상 200%보장!,4119
1542430,피망 탭소닉 - TAP SONIC by Pmang,4082
1542393,Minecraft - Pocket Ed. Demo,4041
792037,광고보고용돈벌자! : 애드라떼 -돈버는앱,3992
1587321,메이플스토리Live Premium,3964
932753,제노니아3 FREE,3866
1207627,드래곤 플라이트,3843
1624709,말랑말랑 목장 for Kakao,3783
806152,아프리카TV - afreecaTV,3758
1522647,간단한 MP3 다운로더,3743
806023,팔라독 FREE (Paladog),3735
1809959,도돌 런처 - dodol Launcher - 폰꾸미기,3726
592833,성경 (Bible),3717
1541437,컴투스프로야구2013,3715
1736109,심슨가족™ Springfield,3677
806018,올레뮤직 - 무제한 다운로드,3657
806364,뿌까레스토랑,3641
1542453,터치팝,3631
1676659,메이플스토리 빌리지,3614
1483744,PicsArt - Photo Studio,3609
1820373,마구마구2013 for Kakao,3543
1527850,"커플 필수 앱, 비트윈 - Between",3504
1681201,마이 무비스타 베누스 for Kakao,3501
743282,인피니티 블레이드 2,3458
1506864,Twitter,3439
1525812,알송 안드로이드,3424
1616171,4shared,3422
806292,Rule the Sky™,3366
1522475,네이버 웹툰 - Naver Webtoon,3353
1809100,데빌메이커: 도쿄 for Kakao,3337
675108,로직 스퀘어(Logic Square),3299
1682201,탭소닉 링스타 for Kakao,3271
761450,라디오 알람 시계-전세계 5만개 라디오 채널 감상!,3220
1650303,Pou,3208
805993,한게임 체인지팡팡 - Hangame Pangpang,3185
1673051,2013프로야구,3151
1860052,다함께 삼국지 for Kakao,3150
1830779,"겜톡톡 - 크리스탈, 다이아, 수정 무료 받기!",3146
1675831,캐시슬라이드-첫화면에혜택을담다,3136
1522603,다음 카페 - Daum Cafe,3121
1527815,카트라이더 러쉬+ 2.0,3099
806155,식스건,3052
1483521,PhotoWonder,3045
806163,싸이월드,3031
805961,벅스 뮤직 - 무제한 음악 듣기,3031
1630716,[무료] 오투잼 U - 모바일 오투잼 대표 게임!!,2994
1635840,캔디팡 for Kakao,2923
1771539,팔큐레의 문장 【미녀 판타지 카드 배틀】,2822
1585081,Super Penguins,2818
1681727,제노니아5,2817
1394275,"직방 - 직접 찍은 방 ( 원룸, 오피스텔 )",2817
1144484,매직트리 (Magic Tree by Com2uS),2814
1762035,우파루마운틴 for Kakao,2804
1900710,해피스트릿 for Kakao,2804
754819,Evernote,2799
929885,정오의 데이트 - 매일소개팅,2787
1771536,다함께 퐁퐁퐁 for Kakao,2778
942126,스타일리시 스프린트,2775
1682902,퍼즐앤드래곤,2759
1144425,컴투스프로야구2012,2759
1542798,오븐브레이크,2754
1524115,벅스뮤직 – 무제한 음악듣기,2742
999258,심슨가족™: Springfield,2737
894606,[틀린그림찾기] 캐치플러스(Catch Plus),2732
942092,두산동아 프라임 영한/한영사전(Prime Dictionary E-K/K-E),2720
805985,심즈 프리플레이,2719
1522597,다음 - Daum,2704
1802817,피쉬프렌즈 for Kakao,2661
797045,홈런배틀 3D Free (Homerun Battle 3D FREE),2654
1935528,헬로우 펫 for Kakao,2650
1144482,라그나로크 발키리의 반란,2646
1664808,ALL NEW 방탈출,2644
805989,배달통시즌2,2635
805920,Smurfs' Village,2623
1762040,헬로히어로 for Kakao,2621
1793435,에브리타운 for Kakao,2593
1542691,nds4droid,2577
937512,"소리바다 - 뮤직, 무제한 음악감상",2546
1587295,아스팔트 7: 히트,2546
1525584,싸이월드,2539
1895595,다크 헌터,2534
1883975,골프스타,2514
1144561,손맛낚시광 - Whopper Fishing by MOMO,2468
1930494,아이러브치킨 for Kakao,2467
1894194,피카코인 - 게임아이템 공짜로 즐겨라!,2449
1635862,스페셜포스 NET for Kakao,2441
1587976,피쉬 아일랜드- FISH ISLAND,2437
794977,Dream League Soccer,2423
805908,Seoul Bus 2 - 수도권버스,2417
751011,어썸노트 (+To-do/Calendar/Evernote),2412
910066,레츠골프 3,2404
1930455,건물부수기,2390
1614643,밴드 - 모임이 쉬워진다!,2389
931761,스도쿠,2388
1624682,몬스터워로드,2376
1144995,아이스 에이지: 빌리지,2367
1524118,"중고 1등 장터 '번개장터' (중고카페, 중고나라 앱)",2352
1542479,이노티아 4 (Inotia 4),2350
741391,홈런배틀2 (Homerun Battle 2),2325
1522474,네이버 블로그 - Naver Blog,2305
1613821,Wondershare PowerCam,2302
1607939,문화상품권 컬쳐랜드,2299
1456045,G마켓 – 대한민국 1등 온라인 쇼핑,2295
1681020,퍼즐판타지,2264
806120,하철이,2250
1479634,N드라이브 - 사진 백업 - Naver Ndrive,2238
1696541,활 for Kakao,2224
1856944,소울오브레전드,2212
931729,Ragnarok Violet,2189
806082,자연의 소리 - 10분간 휴식!,2189
1699736,암드 히어로즈,2185
1587174,더비데이즈,2169
1630715,Subway Surfers,2156
1525852,애드라떼 - 스마트한 당신의 필수 어플,2151
1841134,다크어벤저,2143
1614277,네이버 캘린더-디데이/시간표-Naver Calendar,2138
1542539,이터니티워리어스2,2131
898115,아드베나,2130
975243,나의 배경화면 달력,2126
1542749,Critical Strike Portable,2121
1466907,라인 LINE,2120
1613815,싸이메라 (Cymera) - 예뻐지는 카메라,2118
805896,실시간TV웹 - 아이스타트,2110
1587176,바이킹아일랜드 for Kakao,2096
806022,틱톡 - TicToc,2071
1762038,히어로즈워 for Kakao,2060
1935316,오션테일즈 for Kakao,2059
1524061,배달의민족,2046
1525615,씽플레이어 가사지원 음악 플레이어,2032
1542660,메이플스토리Live,2031
1600567,매직트리,2021
1698592,워스토리 for Kakao,1981
1542665,아이모 (The World of Magic),1966
1528802,피싱마스터,1954
1834902,이상한 모험,1952
1144984,크레이지레인2 - 배틀,1946
1825991,던전 헌터 4,1941
1636568,[넥슨]버블파이터 어드벤처,1932
1587170,배틀 오브 레전드 (바하무트),1929
1664306,초코초코타이쿤,1927
1682358,로드 오브 나이츠,1924
1894154,판타지러너즈 for Kakao,1900
1628748,아이나비LTE에어 for Kakao: 네비게이션&지도,1897
1771540,바운스볼 2.5D,1890
1414518,이터니티 워리어스 2,1884
1941379,EA SPORTS™의 FIFA 14,1883
1557936,아야카시 음양록,1858
932687,The Oregon Trail: 서부 개척자,1852
1844384,"카카오홈 KakaoHome - 런처,폰꾸미기,모아보기",1850
1453820,GO락커,1844
820611,AVPlayer (무인코딩 속도조절 자막지원 플레이어),1833
806311,카트라이더 러쉬,1832
1662188,베네치아스토리 소셜 for KAKAO,1832
1587201,한판맞고,1830
806194,에브리팜 by hangame – Every Farm by hangame,1829
1923342,아스팔트 8: 에어본,1821
1941447,카카오뮤직 KakaoMusic,1817
1686253,카카오톡 테마 만들기 - 카테만 [100만 테마],1815
758907,편한가계부 Pro (+ PC가계부),1814
1629675,스머프 빌리지,1813
1525665,아스트로 파일 관리자,1811
805969,"LED Light - LED 손전등, 후레쉬",1808
1682132,버드팡 for Kakao,1807
1783048,Real Racing 3,1802
1616294,앱팡 게임 아이템 문상 틴캐시 해피머니 공짜 돈버는앱,1801
1012151,카카오스토리,1797
1694176,몬스터크라이,1792
1774658,애니팡 사천성 for Kakao,1790
1692780,"벨365 - 무료벨소리,컬러링,문자음,mp3",1788
1809104,지켜줘! 동물특공대 for Kakao,1762
1895374,공 튀기기,1762
1696517,아쿠의 퍼즐패밀리 for Kakao,1756
809496,올레 캐치캐치,1750
942185,9히어로즈 디펜스,1743
806388,"지하철 - 알람기능, 초성검색, 요금정보 추가",1741
1514437,"도돌 폰 3  (4G LTE, 젤리빈도 지원~)",1731
1681294,월드 앳 암즈,1729
806299,해커스-토익,1725
1935525,캔디크러쉬사가 for Kakao,1723
1144515,맨 인 블랙 3,1699
1889653,동창주소록 멤버 - 600만이 쓰는 동창찾기 앱,1696
927162,클럽맞고 온라인 HD,1685
1682269,해피피쉬 for Kakao,1682
1600227,드래곤 섯다,1678
1696560,퍼즐바리스타 for Kakao,1675
806157,쿠폰모아 - 소셜커머스 모음,1675
626290,CGV 영화예매,1668
1673108,점핑스타 for Kakao,1659
1672257,스타 걸,1659
1854926,프린세스 러시 for Kakao,1651
1916230,몬스터 길들이기 for Kakao,1642
1858164,Head Soccer,1637
806347,던전 헌터 3,1636
1587216,패션시티 - Fashion City by Hangame,1634
1474305,엠넷(Mnet),1634
1518195,osu!droid,1631
